,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
29,2021-05-30,53,55,17,51,29.0,72,PM25,SEDANG,DKI4,72.0,
30,2021-05-31,62,49,20,71,37.0,93,PM25,SEDANG,DKI4,93.0,
0,2021-09-01,79,55,16,32,38.0,118,PM25,TIDAK SEHAT,DKI4,118.0,
1,2021-09-02,66,52,15,39,28.0,115,PM25,TIDAK SEHAT,DKI4,115.0,
2,2021-09-03,66,51,11,45,30.0,111,PM25,TIDAK SEHAT,DKI4,111.0,
3,2021-09-04,62,50,10,37,28.0,93,PM25,SEDANG,DKI4,93.0,
4,2021-09-05,74,52,12,36,28.0,120,PM25,TIDAK SEHAT,DKI4,120.0,
5,2021-09-06,73,51,13,34,24.0,109,PM25,TIDAK SEHAT,DKI4,109.0,
6,2021-09-07,60,51,11,27,24.0,86,PM25,SEDANG,DKI4,86.0,
7,2021-09-08,64,52,16,29,34.0,106,PM25,TIDAK SEHAT,DKI4,106.0,
8,2021-09-09,68,54,12,35,31.0,88,PM25,SEDANG,DKI2,88.0,
9,2021-09-10,58,53,10,39,32.0,80,PM25,SEDANG,DKI4,80.0,
10,2021-09-11,70,53,12,46,41.0,109,PM25,TIDAK SEHAT,DKI4,109.0,
11,2021-09-12,66,51,10,36,27.0,111,PM25,TIDAK SEHAT,DKI4,111.0,
12,2021-09-13,56,52,9,27,21.0,88,PM25,SEDANG,DKI4,88.0,
13,2021-09-14,36,50,8,47,19.0,61,PM25,SEDANG,DKI4,61.0,
14,2021-09-15,69,54,20,45,45.0,110,PM25,TIDAK SEHAT,DKI4,110.0,
15,2021-09-16,53,52,10,52,24.0,89,PM25,SEDANG,DKI4,89.0,
16,2021-09-17,50,51,7,53,20.0,85,PM25,SEDANG,DKI4,85.0,
17,2021-09-18,57,53,9,51,22.0,101,PM25,TIDAK SEHAT,DKI4,101.0,
18,2021-09-19,56,50,10,68,19.0,83,PM25,SEDANG,DKI5,83.0,
19,2021-09-20,58,52,11,54,34.0,81,PM25,SEDANG,DKI2,81.0,
20,2021-09-21,61,52,11,58,36.0,99,PM25,SEDANG,DKI4,99.0,
21,2021-09-22,64,54,14,48,32.0,119,PM25,TIDAK SEHAT,DKI4,119.0,
22,2021-09-23,61,53,10,53,22.0,116,PM25,TIDAK SEHAT,DKI4,116.0,
23,2021-09-24,57,53,8,47,26.0,109,PM25,TIDAK SEHAT,DKI4,109.0,
24,2021-09-25,55,52,11,50,20.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
25,2021-09-26,56,50,10,54,19.0,98,PM25,SEDANG,DKI4,98.0,
26,2021-09-27,53,49,12,47,33.0,89,PM25,SEDANG,DKI4,89.0,
27,2021-09-28,49,49,10,49,28.0,71,PM25,SEDANG,DKI2,71.0,
28,2021-09-29,61,57,13,63,38.0,102,PM25,TIDAK SEHAT,DKI4,102.0,
29,2021-09-30,71,63,16,63,37.0,117,PM25,TIDAK SEHAT,DKI4,117.0,
0,2021-10-01,58,59,11,65,,91,PM25,SEDANG,DKI4,91.0,38.0
1,2021-10-02,70,61,12,58,,127,PM25,TIDAK SEHAT,DKI4,127.0,35.0
2,2021-10-03,70,62,11,53,,96,PM25,SEDANG,DKI4,96.0,28.0
3,2021-10-04,62,60,11,64,,110,PM25,TIDAK SEHAT,DKI4,110.0,29.0
4,2021-10-05,65,67,11,54,,90,PM25,SEDANG,DKI2,90.0,33.0
5,2021-10-06,66,66,10,58,,103,PM25,TIDAK SEHAT,DKI4,103.0,35.0
6,2021-10-07,52,60,9,50,,77,PM25,SEDANG,DKI4,77.0,28.0
7,2021-10-08,60,64,11,54,,98,PM25,SEDANG,DKI4,98.0,35.0
8,2021-10-09,55,62,9,60,,83,PM25,SEDANG,DKI4,83.0,29.0
9,2021-10-10,61,61,9,72,,97,PM25,SEDANG,DKI4,97.0,26.0
10,2021-10-11,68,64,12,66,,100,PM25,SEDANG,DKI2,100.0,30.0
11,2021-10-12,77,76,12,49,,111,PM25,TIDAK SEHAT,DKI4,111.0,35.0
12,2021-10-13,57,63,9,58,,91,PM25,SEDANG,DKI4,91.0,31.0
13,2021-10-14,73,65,12,70,,131,PM25,TIDAK SEHAT,DKI4,131.0,35.0
14,2021-10-15,100,64,15,64,,157,PM25,TIDAK SEHAT,DKI4,157.0,37.0
15,2021-10-16,68,63,15,63,,122,PM25,TIDAK SEHAT,DKI4,122.0,44.0
16,2021-10-17,71,63,15,65,,126,PM25,TIDAK SEHAT,DKI4,126.0,30.0
17,2021-10-18,57,58,11,45,,88,PM25,SEDANG,DKI4,88.0,26.0
18,2021-10-19,52,60,18,42,,81,PM25,SEDANG,DKI5,81.0,35.0
19,2021-10-20,50,73,11,50,,96,PM25,SEDANG,DKI4,96.0,27.0
20,2021-10-21,53,61,11,57,,74,PM25,SEDANG,DKI3,74.0,32.0
21,2021-10-22,73,82,18,46,,120,PM25,TIDAK SEHAT,DKI4,120.0,48.0
22,2021-10-23,67,81,13,53,,109,PM25,TIDAK SEHAT,DKI4,109.0,36.0
23,2021-10-24,68,60,17,62,,113,PM25,TIDAK SEHAT,DKI4,113.0,36.0
